No, TITLE,NAME,FIRST NAME, SEX,CMP_Rtg,,,,,,
1,,ABALOS,Renato,,1841,,,,,,
2,ACM,ABANES,Maria Fe,F,,,,,,,
3,AFM,ABELEDA,Ritchie James,,2054,,,,,,
4,,ABISAN,Roger,,1927,,,,,,
5,,ACOL,Edgar,,1884,,,,,,
6,,ADRA,Roderenz,,2046,,,,,,
7,,ADVINCULA,Raymark,,2067,,,,,,
8,NM,AGUILERA,Felix,,1842,,,,,,
9,NM,ALCODIA,Romeo,,2059,,,,,,
10,,ALIPOON,Kentrry Ryan,,1809,,,,,,
11,,ALIVIO,Junnie,,1638,,,,,,
12,,ALLEVA,Lucky One,,1692,,,,,,
13,,ALMADIN,Jan Yuniko,,1871,,,,,,
14,,ALVARADO,Ricardo B.,,1912,,,,,,
15,,ANGELES,Citadel,,,,,,,,
16,,ANTONIO,John Lee,,2042,,,,,,
17,,ARCEDE,Ruel,,1783,,,,,,
18,,ARELLANO,Vince Albert,,1884,,,,,,
19,,AREQUE,Jerry,,2120,,,,,,
20,,ARROYO,Christian,,2077,,,,,,
21,,ATUTUBO,Rein Nathaniel,,1613,,,,,,
22,,AUREADA,Renante,,2111,,,,,,
23,,AVELLANEDA,Anthony P.,,1766,,,,,,
24,,AVELLANEDA, Anthony P.,,1758,,,,,,
25,,AZAOLA,Mark Alfonso L.,,1847,,,,,,
26,,AZARES,Raniel V.,,1829,,,,,,
27,,BACASMAS,Gabrielle,F,1806,,,,,,
28,,BAJARIAS,Franchezka F.,F,1777,,,,,,
29,AGM,BALANAY,Marc Francis,,1966,,,,,,
30,,BALIWANG,Mark John T.,,1964,,,,,,
31,,BALLESTEROS,Larry,,1908,,,,,,
32,,BALMACEDA,Joseph,,1820,,,,,,
33,,BATCHO,Ricardo D.,,2176,,,,,,
34,,BAUTISTA,Ma. Caissa Pauleen,F,1674,,,,,,
35,,BAUTISTA,Miel V.,,1929,,,,,,
36,,BAUTISTA,Ruel,,1967,,,,,,
37,,BAYANI,Bryce Clarence S.,,1988,,,,,,
38,,BAYLOSIS,Daniel,,2116,,,,,,
39,,BELTRAN,King Xyan,,2007,,,,,,
40,,BERENGUILA,Marlon,,1920,,,,,,
41,,BERNARDINO,Faye,F,1794,,,,,,
42,NM,BERNARDO,Darry T.,,2236,,,,,,
43,NM,BIETE,Angele Tenshi T.,,2194,,,,,,
44,,BONIFACIO,Patrick,,1775,,,,,,
45,,BRAVO,Mark,,1967,,,,,,
46,,BRITANICO,Cyril,,1900,,,,,,
47,,BUETA,Dennis,,1857,,,,,,
48,,BUETA, Dennis,,1828,,,,,,
49,,BUNGATO,Elvin,,1566,,,,,,
50,,BUSA,Nelson Jr.,,2180,,,,,,
51,AIM,CABALES,John Peter Allen,,2020,,,,,,
52,,CACATIAN,Charles Kentjohn,,1778,,,,,,
53,,CACHO,Robert C.,,1943,,,,,,
54,,CAJERAS,Jerich,,2181,,,,,,
55,,CALAMBA,Christian Jacob,,1795,,,,,,
56,,CALAMBA,John Mark,,1648,,,,,,
57,,CALAR,Erwin P.,,1944,,,,,,
58,,CALASAN,Antonio Jr.,,1805,,,,,,
59,,CALUNGSOD,Kiev,,1754,,,,,,
60,,CANCERAN, Paul Haydrick,,1742,,,,,,
61,,CANIETE,Mario S.,,1812,,,,,,
62,NM,CANTELA,Lorenzo Aaron,,2046,,,,,,
63,NM,CANTELA,Oscar Joseph,,1973,,,,,,
64,,CAOILE,Michael Arman,,1978,,,,,,
65,,CARAIG,Leo Aldrin,,1950,,,,,,
66,,CARTEL,Gabriel James,,1915,,,,,,
67,,CASABUENA,Freddie,,2082,,,,,,
68,,CASTILLO,Julio Jose,,1699,,,,,,
69,,CASTILLO,Sean Ethan,,1599,,,,,,
70,,CAUBANG,Lance,,1903,,,,,,
71,,CERVANTES,Kurt Brayden,,1807,,,,,,
72,,CHUA,Mark Alvin,,1896,,,,,,
73,,CINCO,Rj Russell Dr.,,1589,,,,,,
74,,CLARITO,Kyle Jhazmin P.,F,1717,,,,,,
75,,CLEMENTE,Rogelio,,1851,,,,,,
76,,COLICOT, Carlos,,1987,,,,,,
