Rank,Team,Points
1,FINDING NEPO,53
2,CHESSMATEK,52
3,FLOODWAY,44
4,TIRA-TIRA SASOTIZED DOS,30
5,MANSA ENGINEERING CONSULTANCY,30
6,TOP SECRET,24
7,SIR NATS GARAGE A,20
8,STAR NG PASKO,20
9,HACIENDA HERMIDA,20
10,TIRA-TIRA SASOTIZED KWATRO,15
11,SIKRETONG MALUPIT,15
12,TEAM GWAPINGS,14
13,CK EAGLES,13
14,WOMEN'S TOP SECRET,13
15,LIL YOUNG KINGZ,10
16,TIRA TIRA1,10
17,TWENTYTEN,9
18,CHESS KINGS,9
19,LPU MANILA LUCKY 9,9
20,CHESSMATES 2,8
21,TEAM MANSA ENGINEERING CONSULTANCY C,8
22,TEAM KKKB,8
23,DENTAL HP VLADIMIR CRAMPING,7
24,GOLDEN STALLIONS,7
25,RAW KINGS,7
26,TIRA-TIRA CHING,6
27,RAFIEL AND FRIENDS,6
28,LIBAY LIBAYAN,6
29,GUERERO CK INGLES,5
30,OK CHAMP THUNDER,5
31,TRANSCENDENCE,4
32,CHESSMATES 3,4
33,TEAM LARRY DOS,4
34,VISIONARY GAMBITEERS2,4
35,KNIGHTS OF FAITH,4
36,TIRA-TIRA SAMPALOC UNO,4
37,EMEL SOLDADO,3
38,TIRA-TIRA SASOTIZED TRES,3
39,BOMING TIGER,3
40,REDHORSE 2.0,3
41,WALANG MANAGER,3
42,SIR NATS GARAGE B,3
43,CHESS KINGS MAROON - CK INGLES TEAM,3
44,CHESSMATES 1,3
45,CHESSMATES 4,3
46,TEAM EL D,3
47,TIRA-TIRA SASOTIZED UNO,3
48,REDHORSE 1.0,3
49,MANDA BOYS,3
50,R2 ELECTRICAL ENGINEERING,3
51,TEAM MANAGERS,3
52,TEAM PALABAN,3
53,LARRY D ONE,3
54,TEAM MANSA ENGINEERING CONSULTANCY B,3
55,TEAM NATS,3
56,UNIVERSAL KNIGHTS,3
57,TEAM DENTAL PH,3
58,LAGUNA TACTICS,3
59,TEAM MANSA ENGINEERING CONSULTANCY A,3
60,ROGER'S ATTACK-ARM,3
61,TEAM ATABS,3
62,TEAM MALUPITON,3
63,CHESSMATES STALLION,3
64,TEAM LARRY D - ADU,3
65,TEAM YOUNG BLOOD,3
66,GANTI NG API,3
67,GEMIS BEAR,3
68,TEAM BLUE KNIGHTS,3
69,RAZE JOHNSON,3
70,RTU CRUSHERS,3
71,TEAM REDHORSES,3
72,CHESSMATES KNIGHTS,3
73,TEAM MANSA ENGINEERING CONSULTANCY D,3
74,HOUSE TEAM,3
75,LARRY D. TEAM CINCO,3
76,LARRY D. TEAM KWATRO,3
77,BISAKOL,3
78,THREE STOOGES,3
79,3PS OF PASIG,3
80,LARRY D. TEAM TRES,3
81,TEAM MLMG,3
82,VISIONARY GAMBITEERS1,3
83,PAWNDEMONIUM,3
84,MAGIC CHESS,3
85,THE KING'S MAN,3
86,TEAM BLUE KNIGHT,3
87,CHESSMATES PINAS,3
88,TEAM MIMA,3
89,TEAM HANDSOME,3
90,LARRY D. TEAM UNO,3
91,3P LETS OF PASIG,3
92,LARRY D. TEAM DOS,3
93,CHESSKINGS,3
94,TIRA TIRA2,3
95,ATHENA GF1,3
96,BULUSOK TEAM,3
97,ATHENA GAME FARM,3
98,CHESS PALACE TEAM,3
99,FM SANDER SEVERINO & FRIENDS,3
100,UNITED TAGUIG CHESS CLUB,3
101,MASTERMIND CHESS CAFE,3
102,CHESS HUNTER,3
103,ATP (AMM),3
104,ON THE SPOT (AMM),3
105,CHESSMATES USA (AMM),3
106,AYALA-PASEO EXECUTIVE CHESSCLUB,3
107,MD TRUCKING,3
108,FORTUNE AND  TWINE,3
109,CAPT. MANDAGAN TROOPS,3
110,JIMENEZ FIGHTER,3
111,TIRA-TIRA SAMPALOC DOS,3
112,MAROON TIGERS,3
113,VELARDE &FRIENDS CHESS TEAM,3
114,TEAM BIG BOYS,3
115,CHESS KING MASTER,3
116,BULUSOK ATTACK,3
117,TEAM RED HORSES,3
118,TEAM BAGITO,3
119,DUMADAG ALL THE WAY AAA,3
120,DUMADAG ALL THE WAY BBB,3
121,RUY LOPEZ,3
122,TIRA-TIRA SAMPALOC TRES,3
