Players,Champion,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Category,Participation,Total
"OBILLO, RHEYBELLE A.",1,,,1,,,,,,,1,1,47
"CORRE, JANN GIL",,1,,,,,,,,,,,20
"BALANAY, MARC FRANCIS",,,1,,,,,,,,,,15
"ERAMIS, ROJIE LYX",,,,1,,,,,,,,,10
"CLEMENTE, ROGELIO",,,,,1,,,,,,1,,13
"TABLAN, AUSTIN JAY",,,,,,1,,,,,,,8
"ARELLANO, VINCE ALBERT",,,,,,,1,,,,1,,11
"ZAMORA, MARIKO",,,,,,,,1,,,,,6
"COLICOT, CARLOS",,,,1,,1,,,1,,,,23
"CARAIG, LEO ALDRIN",,,,,,,,,1,1,,,9
"NEMIS, MARC",,,,,,,,,,,1,,4
"SALCEDO, RENANTE",,,,,,,,,,,1,,4
"LIMPO, CLEFZON",,,,,,,,,,,1,,4
"MARCELLANO, CHARLS LEANDRO L.",,,,,,,,,,,2,1,11
"PADRIGONE, DARWIN",,,,,,,,,,,1,,4
"GONZALES, JOHN STEPHEN",,,,,,,,,,,1,,4
"BAUTISTA, MIEL V.",,,,,,,,,,,1,,4
"FORTUS, ALLAN RECCI",,,,,,,,,,,1,,4
"PE BENITO, ANTHONY O.",,,,,,,,,,,1,,4
"YANZON, MERVINCE",,,,,,,,,,,2,1,11
"BACASMAS, GABRIELLE",,,,,,,,,,,2,,8
"YANZON, ELMER JR.",,,,,,,,,,,2,1,11
"TALAPIAN, TEORWIN",,1,1,,,,,,,,1,1,42
"DIRECTO, ROMELIO",,,,,,,,,,,1,,4
"YAMOG, MARK LESTER",,,,,,,,,,,1,,4
"ROBLES, PRINCE PAOLO",,,,,,,,,,,1,,4
"*** CRUZ, FLOREL",,,,,,,,,,,1,,4
"SALINAS, ROBERTO JR.",,,,,,,,,,,1,,4
"OMANA, LIAM BENEDICT",,,,,,,,,,,2,,8
"BRITANICO, CYRIL",,,,,,,,,,,1,,4
"ALLEVA, LUCKY ONE",,,,,,,,,,,1,,4
"AVELLANEDA, ANTHONY P.",,,,,,,,,,,1,1,7
"GELUA, RHAMMILLE IZELLE B.",,,,,,,,,,,1,,4
"MALALUAN, GUILBERTO",,,,,,,,,,,1,1,7
"CONSOLACION, PRECIOUS",,,,,,,,,,,1,,4
"BERNARDINO, FAYE",,,,,,,,,,,1,,4
"DIONISIO, FEDERICO",,,,,,,,,,,2,2,14
"SAGUBAN, DAVE TREVOR",,,,,,,,,,,1,1,7
"BALLESTEROS, LARRY",,,,,,,,,,,1,,4
"ORNIDO, ADRIAN MARTIN",,,,,,,,,,,1,,4
"TORRES, RENE",,,,,,,,,,,1,,4
"GONZALES, CHRISTIAN EMMANUEL",,,,,,,,,,,1,,4
"DE MESA, JOHN CALVIN",,,,,,,,,,,1,,4
"MEDRANO, DIONIVER",,,,,,,,,,,1,1,7
"GUILARAN, JHORLAN JAMES",,,,,,,,,,,1,,4
"INGLES, CLARK KENNETH",,,,,,,,,,,2,1,11
"BUETA, DENNIS",,,,,,,,,,,2,2,14
"BONIFACIO, PATRICK",,,,,,,,,,,1,,4
"PATUBO, L-MAR",,,,,,,,,,,1,,4
"GALANG, JAY-EL",,,,,1,,,,,,2,1,20
"ALIPOON, KENTRRY RYAN",,,,,,,,,,,1,,4
"SONEJA, DANTE",,,,,,,,,,,1,,4
"AZAOLA, MARK ALFONSO L.",,,,,,,,,,,1,,4
"TUPAS, MARK CHRISTOPHER",,,,,,,,,,,1,,4
"CLARITO, KYLE JHAZMIN P.",,,,,,,,,,,1,,4
"JARAMILLO, ALVIN",,,,,,,,,,,1,,4
"SAMILLANO, DIONISIO JR.",,,,,,,,,,,1,,4
"CUEVA, ADRIAN",,,,,,,,,,,1,1,7
"DIPAD, LEAH MAE",,,,,,,,,,,1,,4
"SELVIDO, FRANCA MARIE",,,,,,,,,,,1,,4
"SERRANO, ARIEL",,,,,,,,1,,,1,,10
"ALIVIO, JUNNIEC",,,,,,,,,,,1,,4
"TAPERO, MATTEO YOSEF",,,,,,,,,,,1,,4
"GADDI, MARIANNE VENICE",,,,,,,,,,,1,1,7
"MENDEZ, SOPHIA NATHALIE Y.",,,,,,,,,,,1,,4
"HUDENCIAL, GIAN MELISE",,,,,,,,,,,1,,4
"BAUTISTA, MA. CAISSA PAULEEN",,,,,,,,,,,1,,4
"ISIDRO, LAURICE MORISSETTE",,,,,,,,,,,1,,4
"CASTILLO, SEAN ETHAN",,,,,,,,,,,1,,4
"CINCO, RJ RUSSELL DR.",,,,,,,,,,,1,,4
"RUGASAN, NORALINDA",,,,,,,,,,,1,,4
"SISTER, RENE",,,,,,,,,,,1,1,7
"DOMINGO, JUAN MIGUEL",,,,,,,,,,,1,,4
"ABALOS, RENATO",,,,,,,,,,,1,,4
"VILLANUEVA, GREGORIO",,,,,,,,,,,1,,4
"ACOL, EDGAR",,,,,,,,,,,2,,8
"LAPLANA, MICHAEL L.",,,,,,,,,,,1,,4
"BUNGATO, ELVIN",,,,,,,,,,,1,,4
"CRUZ, JOHN ONDREI",,,,,,,,,,,1,,4
"REBULANAN, CHERYL",,,,,,,,,,,1,,4
"ANGELES, CITADEL",,,,,,,,,,,1,,4
"VILLARUZ, ANDREW JOHN A.",,,,,,,,,,,1,,4
"ABANES, MARIA FE",,,,,,,,,,,1,,4
"TUPAZ, ALDRIN",,,,,,,,,,,1,,4
"GONZALES, VLADIMIR P.",1,,,,,,,1,,,,,36
"MAHAWAN, JOHN PAUL LUNA",,,1,,,,,,,,,,15
"MAHAWAN, ARNEL LUNA JR.",,,,,1,1,,,,,,,17
"SY, ASHER JUDD",,,,,,,2,,,,,,14
"ALMADIN, JAN YUNIKO",,,,,,,,,,1,,,4
"TENORIO, RIAN PAUL",,,,,,,,,,,1,1,7
"ALVARADO, RICARDO B.",,,,,,,,,,,2,,8
"BALIWANG, MARK JOHN T.",,,,,,,,,,,1,,4
"TORENA, ZAFIRAH JAHLY",,,,,,,,,,,1,,4
"DIMATANGIHAN, ANICA SHEY M.",,,,,,,,,,,1,,4
"ECLEVIA, DANIEL GIL E.",,,,,,,,,,,1,,4
"LLERA, FIDEL",,,,,,,,,,,1,1,7
"CRUZ, FLOREL",,,,,,,,,,,1,2,10
"CAUBANG, LANCE",,,,,,,,,,,1,,4
"RIVERA, JOHN LUIS A.",,,,,,,,,,,2,,8
"TORENA, CLDE JARED",,,,,,,,,,,1,,4
"ARCEDE, RUEL",,,,,,,,,,,1,,4
"DELA CRUZ, RUDMARK",,,,,,,,,,,1,1,7
"GARCIA, CALEB ROYCE",,,,,,,,,,,1,,4
"GAFATE, RAINIER SANTI JESU S.",,,1,,,,,,,,1,,19
"SARAHAN, PRINCE NEEZHEL",,,,,,,,,,,1,,4
"SOSA, RENZ JEMUEL",,,,,,,,,,,1,,4
"DOBLON, ARIEL",,,,,,,,,,,1,,4
"GARCIA, IORA MEGAN",,,,,,,,,,,1,,4
"BAJARIAS, FRANCHEZKA F.",,,,,,,,,,,1,,4
"MELENDRES, III LEONIDES KARLO",,,,,,,,,,,1,,4
"SEBOLINO, REU GABRIEL",,,,,,,,,,,1,,4
"SUNGA, JOHN FREDERICK O.",,,,,,,,,,,1,,4
"PUSO, KING WHISLEY",,,,,1,,,,,,1,,13
"MACASPAC, ADRIEL NICOLAS",,,,,,,,,,,1,1,7
"MIRANDA, JOHN ARDEE",,,,,,,,,,,1,,4
"DUMADAG, LAURENCE WILFRED",,,,,,,,,,,1,1,7
"GRAVILLO, NATHANIEL",,,,,,,,,,,1,1,7
"MAGSALAY, KYROS ANDREI",,,,,,,,,,,1,,4
"ESPLANA, MANUEL",,,,,,,,,,,1,,4
"CALAMBA, JOHN MARK",,,,,,,,,,,1,,4
"AZARES, RANIEL V.",,,,,,,,,,,1,,4
"PABIANA, CEDRICK",,,,,,,,,,,1,,4
"TAGALAN, KEINTH MARC",,,,,,,,,,,1,,4
"MONTELLANO, JERWIN",,,,,,,,,,,1,,4
"JALLORINA, PAUL KIRA",,,,,,,,,,,1,,4
"CACATIAN, CHARLES KENTJOHN",,,,,,,,,,,1,,4
"CASTILLO, JULIO JOSE",,,,,,,,,,,1,,4
"PEREZ, WINSON",,,,,,,,,,,1,2,10
"LACOSTALES, JOHN MICHAEL",,,,,,,,,,,1,1,7
"MATSON, LOUIS ANGELO",,,,,,,,,,,1,,4
"GARCIA, ZEDEKIAH KENMEI",,,,,,,,,,,1,,4
"DIMATANGIHAN, ALDEN SHAWN",,,,,,,,,,,1,,4
"MANUMBILAO, MOHAMMAD",,,,,,,,,,,1,,4
"GADUT, EMCEL JULES V.",,,,,,,,,,,1,,4
"DIAZ, RAMCI",,,,,,,,,,,1,,4
"MARCOS, JEFFRY",,,,,,,,,,,1,,4
"GARCIA, LUKE CHRISTIAN",,,,,,,,,,,1,,4
"DELA CRUZ, SONNY",,,,,,,,,,,1,,4
"HAGUIMIT, AL NIKKO",,,,,,,,,,,1,1,7
"WABE, BENONI",,,,,,,,,,,1,,4
"SORIA, MARGUEL JR.",,,,,,,,,,,1,,4
"SANTIAGO, PRINCESS",,,,,,,,,,,1,,4
"LUMANAO, JACOB",,,,,,,,,,,1,,4
"SANTIAGO, STEPHANIE",,,,,,,,,,,1,,4
"ATUTUBO, REIN NATHANIEL",,,,,,,,,,,1,,4
"CRUZ, AMANDA",,,,,,,,,,,1,,4
"ESTORIL, ANDRADE",,,,,,,,,,,1,,4
"GUMILA, NARCISO JR.",1,,,,,,,1,,,,,36
"LUMIDAO, MERVIN",,1,,1,,,,,,,,,30
"FORTUNADO, JAY P C.",,,,,,1,,,,,,,8
"NICDAO, WILLIE JADE",,,,,,,1,,,1,,,11
"SUMAGANG, JAY-R",,,,,,,,,1,,,,5
"PALISOC, ROBERT CHRISTIAN V.",,,,,,,,,,1,,,4
"YAP, BERNARDO",,,,,,,,,,,1,,4
"CACHO, ROBERT C.",,,,,,,,,,,1,1,7
"VARGAS, PHIERREE JAZZ",,,,,,,,,,,1,,4
