Teams,Champion,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Category,Participation,Total
CHESSMATEK,1,,2,,,,,,,1,,1,67
FINDING NEPO,,2,,1,,1,,,,,,1,61
TOP SECRET,,,1,,,,,,,,,4,27
WOMEN'S TOP SECRET,,,,1,,,,,,,,2,16
LPU MANILA LUCKY 9,,,,,1,,,,,,,,9
TEAM KKKB,,,,,,1,,,,,,,8
RAW KINGS,,,,,,,1,,,,,,7
CK EAGLES,,,,,,,1,1,,,,,13
OK CHAMP THUNDER,,,,,,,,,1,,,,5
TIRA-TIRA SAMPALOC UNO,,,,,,,,,,1,,,4
TIRA-TIRA SAMPALOC TRES,,,,,,,,,,,,1,3
FLOODWAY,1,,,,,1,,,,,,2,44
RUY LOPEZ,,,,,,,,,,,,1,3
DUMADAG ALL THE WAY BBB,,,,,,,,,,,,1,3
DUMADAG ALL THE WAY AAA,,,,,,,,,,,,1,3
TEAM BAGITO,,,,,,,,,,,,1,3
TEAM RED HORSES,,,,,,,,,,,,1,3
BULUSOK ATTACK,,,,,,,,,,,,1,3
CHESS KING MASTER,,,,,,,,,,,,1,3
KNIGHTS OF FAITH,,,,,,,,,,,1,1,7
TEAM BIG BOYS,,,,,,,,,,,,1,3
CHESS KINGS,,,,,,,,1,,,,1,9
VELARDE &FRIENDS CHESS TEAM,,,,,,,,,,,,1,3
MAROON TIGERS,,,,,,,,,,,,1,3
LIBAY LIBAYAN,,,,,,,,,,,,2,6
TIRA-TIRA SAMPALOC DOS,,,,,,,,,,,,1,3
JIMENEZ FIGHTER,,,,,,,,,,,,1,3
CAPT. MANDAGAN TROOPS,,,,,,,,,,,,1,3
FORTUNE AND  TWINE,,,,,,,,,,,,1,3
MD TRUCKING,,,,,,,,,,,,1,3
AYALA-PASEO EXECUTIVE CHESSCLUB,,,,,,,,,,,,1,3
CHESSMATES USA (AMM),,,,,,,,,,,,1,3
ON THE SPOT (AMM),,,,,,,,,,,,1,3
ATP (AMM),,,,,,,,,,,,1,3
CHESS HUNTER,,,,,,,,,,,,1,3
MASTERMIND CHESS CAFE,,,,,,,,,,,,1,3
UNITED TAGUIG CHESS CLUB,,,,,,,,,,,,2,6
FM SANDER SEVERINO & FRIENDS,,,,,,,,,,,,1,3
CHESS PALACE TEAM,,,,,,,,,,,,1,3
ATHENA GAME FARM,,,,,,,,,,,,1,3
MANSA ENGINEERING CONSULTANCY,1,,,,,,,,,,,,30
HACIENDA HERMIDA,,,1,,,,,,1,,,,20
TIRA TIRA1,,,,1,,,,,,,,,10
TEAM GWAPINGS,,,,,1,,,,1,,,,14
RAFIEL AND FRIENDS,,,,,,,,1,,,,,6
GUERERO CK INGLES,,,,,,,,,1,,,,5
BULUSOK TEAM,,,,,,,,,,,,1,3
ATHENA GF1,,,,,,,,,,,,1,3
TIRA TIRA2,,,,,,,,,,,,1,3
CHESSKINGS,,,,,,,,,,,,1,3
LARRY D. TEAM DOS,,,,,,,,,,,,1,3
SIKRETONG MALUPIT,,,,,1,,,,,,,3,18
3P LETS OF PASIG,,,,,,,,,,,,1,3
VISIONARY GAMBITEERS2,,,,,,,,,,,1,,4
LARRY D. TEAM UNO,,,,,,,,,,,,1,3
TEAM HANDSOME,,,,,,,,,,,,1,3
TEAM MIMA,,,,,,,,,,,,1,3
CHESSMATES PINAS,,,,,,,,,,,,1,3
TEAM BLUE KNIGHT,,,,,,,,,,,,1,3
THE KING'S MAN,,,,,,,,,,,,1,3
MAGIC CHESS,,,,,,,,,,,,1,3
PAWNDEMONIUM,,,,,,,,,,,,1,3
VISIONARY GAMBITEERS1,,,,,,,,,,,,1,3
TEAM MLMG,,,,,,,,,,,,1,3
LARRY D. TEAM TRES,,,,,,,,,,,,1,3
3PS OF PASIG,,,,,,,,,,,,1,3
THREE STOOGES,,,,,,,,,,,,1,3
BISAKOL,,,,,,,,,,,,1,3
LARRY D. TEAM KWATRO,,,,,,,,,,,,1,3
LARRY D. TEAM CINCO,,,,,,,,,,,,1,3
HOUSE TEAM,,,,,,,,,,,,1,3
STAR NG PASKO,,1,,,,,,,,,,1,23
TEAM MANSA ENGINEERING CONSULTANCY C,,,,,,1,,,,,,,8
GOLDEN STALLIONS,,,,,,,1,,,,,,7
TIRA-TIRA CHING,,,,,,,,1,,,,,6
TEAM LARRY DOS,,,,,,,,,,1,,,4
TEAM MANSA ENGINEERING CONSULTANCY D,,,,,,,,,,,,1,3
CHESSMATES KNIGHTS,,,,,,,,,,,,1,3
TEAM REDHORSES,,,,,,,,,,,,1,3
RTU CRUSHERS,,,,,,,,,,,,1,3
RAZE JOHNSON,,,,,,,,,,,,1,3
TEAM BLUE KNIGHTS,,,,,,,,,,,,1,3
GEMIS BEAR,,,,,,,,,,,,1,3
GANTI NG API,,,,,,,,,,,,1,3
TEAM YOUNG BLOOD,,,,,,,,,,,,1,3
TEAM LARRY D - ADU,,,,,,,,,,,,1,3
CHESSMATES STALLION,,,,,,,,,,,,1,3
TEAM MALUPITON,,,,,,,,,,,,1,3
TEAM ATABS,,,,,,,,,,,,1,3
ROGER'S ATTACK-ARM,,,,,,,,,,,,1,3
TEAM MANSA ENGINEERING CONSULTANCY A,,,,,,,,,,,,1,3
LAGUNA TACTICS,,,,,,,,,,,,1,3
TEAM DENTAL PH,,,,,,,,,,,,1,3
UNIVERSAL KNIGHTS,,,,,,,,,,,,1,3
TEAM NATS,,,,,,,,,,,,1,3
TEAM MANSA ENGINEERING CONSULTANCY B,,,,,,,,,,,,1,3
LARRY D ONE,,,,,,,,,,,,1,3
TEAM PALABAN,,,,,,,,,,,,1,3
TEAM MANAGERS,,,,,,,,,,,,1,3
TIRA-TIRA SASOTIZED DOS,1,,,,,,,,,,,,30
SIR NATS GARAGE A,,1,,,,,,,,,,,20
TIRA-TIRA SASOTIZED KWATRO,,,1,,,,,,,,,,15
LIL YOUNG KINGZ,,,,1,,,,,,,,,10
TWENTYTEN,,,,,1,,,,,,,,9
CHESSMATES 2,,,,,,1,,,,,,1,11
DENTAL HP VLADIMIR CRAMPING,,,,,,,1,,,,,,7
CHESSMATES 3,,,,,,,,,,1,,1,7
TRANSCENDENCE,,,,,,,,,,,1,,4
R2 ELECTRICAL ENGINEERING,,,,,,,,,,,,1,3
MANDA BOYS,,,,,,,,,,,,1,3
REDHORSE 1.0,,,,,,,,,,,,1,3
TIRA-TIRA SASOTIZED UNO,,,,,,,,,,,,1,3
TEAM EL D,,,,,,,,,,,,1,3
CHESSMATES 4,,,,,,,,,,,,2,6
CHESSMATES 1,,,,,,,,,,,,2,6
CHESS KINGS MAROON - CK INGLES TEAM,,,,,,,,,,,,1,3
SIR NATS GARAGE B,,,,,,,,,,,,1,3
WALANG MANAGER,,,,,,,,,,,,1,3
REDHORSE 2.0,,,,,,,,,,,,1,3
BOMING TIGER,,,,,,,,,,,,1,3
TIRA-TIRA SASOTIZED TRES,,,,,,,,,,,,1,3
EMEL SOLDADO,,,,,,,,,,,,1,3
StarShots Coffee,1,,,,,,,,,,,,30
Team IYvan,,1,,,,,,,,,,,20
San Beda University Team A,,,,1,,,,,,,,,10
Floodway Team,,,,,1,,,,,,,,9
Team RedHorses Stallion,,,,,,,1,,,,,,7
APEX CHESS SAN JOSE,,,,,,,,1,,,,,6
San Beda University Team B,,,,,,,,,1,,,,5
Athena GF,,,,,,,,,,1,,,4
TEAM OLIVE,,,,,,,,,,,,1,3
GGCC,,,,,,,,,,,,1,3
APEX CHESS SAN JUAN,,,,,,,,,,,,1,3
Eguls,,,,,,,,,,,,1,3
Team Dumadag ONE,,,,,,,,,,,,1,3
APEX CHESS SAN FERNANDO,,,,,,,,,,,,1,3
Tira Tira Sasotize Dos,,,,,,,,,,,,1,3
San Beda University Team C,,,,,,,,,,,,1,3
APEX CHESS SAN PABLO,,,,,,,,,,,,1,3
Tira Tira Sasotize Uno,,,,,,,,,,,,1,3
APEX CHESS SAN CARLOS,,,,,,,,,,,,1,3
The Minions,,,,,,,,,,,,1,3
Team Dumadag DOS,,,,,,,,,,,,1,3
San Beda University Team D,,,,,,,,,,,1,,4
San Beda University Team E,,,,,,,,,,,,1,3
Amateur Uppercut,,,,,,,,,,,,1,3
Team RedHorses Colt,,,,,,,,,,,,1,3
Shinra Tensei,,,,,,,,,,,,1,3
Tira Tira Sasotize tres,,,,,,,,,,,,1,3
TEAM RESBAK,,,,,,,,,,,,1,3
TEAM KOLIN,,,,,,,,,,,,1,3
Supremo Tres,,,,,,,,,,,,1,3
